Species*,Exp*,Trt*,IrrDate,IrrAmount
cocoa,KOKOlatl,1,19064,7
cocoa,KOKOlatl,1,19065,7
cocoa,KOKOlatl,1,19066,7
cocoa,KOKOlatl,1,19067,7
cocoa,KOKOlatl,1,19068,7
cocoa,KOKOlatl,1,19069,7
cocoa,KOKOlatl,1,19070,7
cocoa,KOKOlatl,1,19071,7
cocoa,KOKOlatl,1,19072,7
cocoa,KOKOlatl,1,19073,7
cocoa,KOKOlatl,1,19074,7
cocoa,KOKOlatl,1,19075,7
cocoa,KOKOlatl,1,19076,7
cocoa,KOKOlatl,1,19077,7
cocoa,KOKOlatl,1,19078,7
cocoa,KOKOlatl,1,19079,7
cocoa,KOKOlatl,1,19080,7
cocoa,KOKOlatl,1,19081,7
cocoa,KOKOlatl,1,19082,7
cocoa,KOKOlatl,1,19083,7
cocoa,KOKOlatl,1,19084,7
cocoa,KOKOlatl,1,19085,7
cocoa,KOKOlatl,1,19086,7
cocoa,KOKOlatl,1,19087,7
cocoa,KOKOlatl,1,19088,7
cocoa,KOKOlatl,1,19089,7
cocoa,KOKOlatl,1,19090,7
cocoa,KOKOlatl,1,19091,7
cocoa,KOKOlatl,1,19092,7
cocoa,KOKOlatl,1,19093,7
cocoa,KOKOlatl,1,19094,7
cocoa,KOKOlatl,1,19095,7
cocoa,KOKOlatl,1,19096,7
cocoa,KOKOlatl,1,19097,7
cocoa,KOKOlatl,1,19098,7
cocoa,KOKOlatl,1,19099,7
cocoa,KOKOlatl,1,19100,7
cocoa,KOKOlatl,1,19101,7
cocoa,KOKOlatl,1,19102,7
cocoa,KOKOlatl,1,19103,7
cocoa,KOKOlatl,1,19104,7
cocoa,KOKOlatl,1,19105,7
cocoa,KOKOlatl,1,19106,7
cocoa,KOKOlatl,1,19107,7
cocoa,KOKOlatl,1,19108,7
cocoa,KOKOlatl,1,19109,7
cocoa,KOKOlatl,1,19110,7
cocoa,KOKOlatl,1,19111,7
cocoa,KOKOlatl,1,19112,7
cocoa,KOKOlatl,1,19113,7
cocoa,KOKOlatl,1,19114,7
cocoa,KOKOlatl,1,19115,7
cocoa,KOKOlatl,1,19116,7
cocoa,KOKOlatl,1,19117,7
cocoa,KOKOlatl,1,19118,7
cocoa,KOKOlatl,1,19119,7
cocoa,KOKOlatl,1,19120,7
cocoa,KOKOlatl,1,19121,7
cocoa,KOKOlatl,1,19122,7
cocoa,KOKOlatl,1,19123,7
cocoa,KOKOlatl,1,19124,7
cocoa,KOKOlatl,1,19125,7
cocoa,KOKOlatl,1,19126,7
cocoa,KOKOlatl,1,19127,7
cocoa,KOKOlatl,1,19128,7
cocoa,KOKOlatl,1,19129,7
cocoa,KOKOlatl,1,19130,7
cocoa,KOKOlatl,1,19131,7
cocoa,KOKOlatl,1,19132,7
cocoa,KOKOlatl,1,19133,7
cocoa,KOKOlatl,1,19134,7
cocoa,KOKOlatl,1,19135,7
cocoa,KOKOlatl,1,19136,7
cocoa,KOKOlatl,1,19137,7
cocoa,KOKOlatl,1,19138,7
cocoa,KOKOlatl,1,19139,7
cocoa,KOKOlatl,1,19140,7
cocoa,KOKOlatl,1,19141,7
cocoa,KOKOlatl,1,19142,7
cocoa,KOKOlatl,1,19143,7
cocoa,KOKOlatl,1,19144,7
cocoa,KOKOlatl,1,19145,7
cocoa,KOKOlatl,1,19146,7
cocoa,KOKOlatl,1,19147,7
cocoa,KOKOlatl,1,19148,7
cocoa,KOKOlatl,1,19149,7
cocoa,KOKOlatl,1,19150,7
cocoa,KOKOlatl,1,19151,7
cocoa,KOKOlatl,1,19152,7
cocoa,KOKOlatl,1,19153,7
cocoa,KOKOlatl,1,19154,7
cocoa,KOKOlatl,1,19155,7
cocoa,KOKOlatl,1,19156,7
cocoa,KOKOlatl,1,19157,7
cocoa,KOKOlatl,1,19158,7
cocoa,KOKOlatl,1,19159,7
cocoa,KOKOlatl,1,19160,7
cocoa,KOKOlatl,1,19161,7
cocoa,KOKOlatl,1,19178,7
cocoa,KOKOlatl,1,19179,7
cocoa,KOKOlatl,1,19180,7
cocoa,KOKOlatl,1,19181,7
cocoa,KOKOlatl,1,19182,7
cocoa,KOKOlatl,1,19183,7
cocoa,KOKOlatl,1,19184,7
cocoa,KOKOlatl,1,19185,7
cocoa,KOKOlatl,1,19186,7
cocoa,KOKOlatl,1,19187,7
cocoa,KOKOlatl,1,19188,7
cocoa,KOKOlatl,1,19189,7
cocoa,KOKOlatl,1,19190,7
cocoa,KOKOlatl,1,19191,7
cocoa,KOKOlatl,1,19192,7
cocoa,KOKOlatl,1,19193,7
cocoa,KOKOlatl,1,19194,7
cocoa,KOKOlatl,1,19195,7
cocoa,KOKOlatl,1,19196,7
cocoa,KOKOlatl,1,19197,7
cocoa,KOKOlatl,1,19198,7
cocoa,KOKOlatl,1,19199,7
cocoa,KOKOlatl,1,19200,7
cocoa,KOKOlatl,1,19201,7
cocoa,KOKOlatl,1,19202,7
cocoa,KOKOlatl,1,19203,7
cocoa,KOKOlatl,1,19204,7
cocoa,KOKOlatl,1,19205,7
cocoa,KOKOlatl,1,19206,7
cocoa,KOKOlatl,1,19207,7
cocoa,KOKOlatl,1,19208,7
cocoa,KOKOlatl,1,19209,7
