YEAR,MO,DY,SRAD,WS10M,T,T2MDEW,T2M_MAX,T2M_MIN,rain,RH,date
2018,10,12,2.45,1.27,23.23,20.43,27.17,20.38,5.27,85.56,12 October 2018
2018,10,13,2.45,0.88,22.5,20.21,25.61,19.98,0,88.38,13 October 2018
2018,10,14,2.76,1.12,22.73,20.5,26.35,19.49,5.27,88.5,14 October 2018
2018,10,15,1.69,0.87,22.32,20.5,25.83,20.06,5.27,90.5,15 October 2018
2018,10,16,2.93,1.23,23.48,20.14,27.85,19.93,0,83.25,16 October 2018
2018,10,17,3.02,1.02,23.94,20.94,28.65,20.42,0,85.12,17 October 2018
2018,10,18,2.75,1.08,23.74,19.87,28.4,20.05,10.55,80.88,18 October 2018
2018,10,19,2.27,1.14,23.16,21.23,27.29,20.16,15.82,90.38,19 October 2018
2018,10,20,2.29,0.95,22.01,20.51,25.23,19.76,10.55,92,20 October 2018
2018,10,21,1.92,1.05,22.73,20.52,26.22,20.4,5.27,88.38,21 October 2018
2018,10,22,1.41,1.02,22.35,20.82,25.5,20.39,15.82,91.75,22 October 2018
2018,10,23,2.54,1.04,21.92,20.78,24.6,19.74,26.37,93.81,23 October 2018
2018,10,24,2.33,0.9,22.42,20.5,26.32,19.65,5.27,89.88,24 October 2018
2018,10,25,2.23,1.21,22.91,21.1,25.77,20.23,5.27,90.38,25 October 2018
2018,10,26,2.42,1.34,23.77,21.19,27.59,21.08,0,86.81,26 October 2018
2018,10,27,2.62,1.04,23.76,21.57,27.01,21.64,0,88.81,27 October 2018
2018,10,28,2.02,1.14,23.5,21.8,26.59,21.07,0,91.06,28 October 2018
2018,10,29,2.58,0.9,22.79,20.28,27.07,19.55,0,87.31,29 October 2018
2018,10,30,2.62,1.26,23.76,21.65,27.55,20.33,0,89.19,30 October 2018
2018,10,31,1.99,1.05,23.22,21.83,25.96,21.33,10.55,92.81,31 October 2018
2018,11,1,2.06,1.02,23.44,21.15,27.11,20.62,0,88.5,01 November 2018
2018,11,2,1.5,1.07,23.06,20.32,26.95,20.37,0,86.44,02 November 2018
2018,11,3,2.89,1.06,22.14,17.67,26.9,18.94,0,77.94,03 November 2018
2018,11,4,2.72,1.21,22,17.76,26.23,18.2,5.27,78.12,04 November 2018
2018,11,5,2.31,0.98,21.25,19.15,24.76,18.52,5.27,88.88,05 November 2018
2018,11,6,2.68,1.13,22.93,19.51,27.28,19.23,0,82.75,06 November 2018
2018,11,7,1.61,1.12,22.94,21.06,26.5,20.3,0,90.06,07 November 2018
2018,11,8,1.93,1.2,23.35,21.52,27.23,20.36,5.27,90.81,08 November 2018
2018,11,9,2.18,0.98,22.71,21.53,25.21,21.19,5.27,93.75,09 November 2018
2018,11,10,2.58,1.06,23.03,20.86,26.63,20.38,5.27,88.56,10 November 2018
2018,11,11,2.3,0.89,22.33,18.62,25.82,19.55,0,80.69,11 November 2018
2018,11,12,2.41,1.18,23.34,19.82,27.31,19.93,0,81.81,12 November 2018
2018,11,13,2.46,1.12,23.25,20.95,26.94,20.67,0,88.12,13 November 2018
2018,11,14,2.95,1.09,23.8,20.06,27.99,20.17,0,80.88,14 November 2018
2018,11,15,2.41,1.24,23.49,20.79,26.77,20.9,0,85.88,15 November 2018
2018,11,16,2.09,1.05,23.3,20.78,27.23,20.5,0,86.81,16 November 2018
2018,11,17,1.93,1.13,23.03,21.71,26.53,20.51,5.27,93.12,17 November 2018
2018,11,18,1.87,1.29,22.62,21.47,25.25,21.01,5.27,93.75,18 November 2018
2018,11,19,2.39,1.09,23.25,21.16,27.27,20.4,0,89.25,19 November 2018
2018,11,20,2.47,1.05,23.69,21.98,26.76,21.73,0,91.06,20 November 2018
2018,11,21,2.36,1.16,23.1,21.3,26.16,20.7,5.27,90.38,21 November 2018
2018,11,22,2.35,1.18,23.41,19.75,27.94,19.58,5.27,81.5,22 November 2018
2018,11,23,2.27,1.08,23.31,21.01,27.62,20.46,5.27,88.31,23 November 2018
2018,11,24,2.44,1.01,22.97,20.41,27.64,19.02,0,87.31,24 November 2018
2018,11,25,2.55,1.07,23.03,20.3,26.3,20.83,0,85.56,25 November 2018
2018,11,26,2.37,1.13,22.88,19.78,26.97,20.06,0,83.75,26 November 2018
2018,11,27,2.39,1.16,22.59,18.55,26.81,19.23,0,79.31,27 November 2018
2018,11,28,2.61,1.23,22.83,19.66,26.55,19.66,0,83.5,28 November 2018
2018,11,29,2.07,1.12,23.48,20.41,26.82,20.51,0,84,29 November 2018
2018,11,30,1.79,0.92,22.7,19.77,26.22,20.47,0,85.06,30 November 2018
